UID,Counter,Upload_Time,Message
24,0,2019-06-27 07:53:58,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 07:55:18,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 07:56:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 07:57:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 07:59:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:00:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:01:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:03:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:04:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:05:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:07:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:08:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:09:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:11:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:12:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:13:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:15:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:16:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:17:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:19:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:20:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:21:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:23:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:24:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:25:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:27:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:28:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:29:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:31:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:32:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:33:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:35:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:36:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:37:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:39:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:40:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:41:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:43:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:44:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:45:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:47:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:48:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:49:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:51:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:52:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:53:57,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:55:17,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:56:37,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 08:57:57,1110010000000001000011110000001101010010000001000001010000010101000101000001010100001111000000000000000000000000
24,0,2019-06-27 08:59:18,1110010000000001000011110000001101010000000001000001010000010100000101000001010000001111000000000000000000000000
24,0,2019-06-27 09:00:40,1110010000000001000011110000001101010100000001000001010000010100000101000001100000001111000000000000000000000000
24,0,2019-06-27 09:02:00,1110010000000001000011110000001101010100000001000001010000010100000101000001100000001111000000000000000000000000
24,0,2019-06-27 09:03:24,1110010000000001000011110000001101010100000001000001010000010100000101000001100000001111000000000000000000000000
24,0,2019-06-27 09:04:47,1110010000000001000011110000001101010100000001000001010000010110000101000001011000001111000000000000000000000000
24,0,2019-06-27 09:06:14,1110010000000001000011110000001101010011000001000001010000010111000101000001010000001111000000000000000000000000
24,0,2019-06-27 09:07:38,1110010000000001000011110000001101011101000001000001010000011000000101000001110100001111000000000000000000000000
24,0,2019-06-27 09:09:02,1110010000000001000011110000001101100011000001000001010000011000000101000010001100001111000000000000000000000000
24,0,2019-06-27 09:10:36,1110010000000001000011110000001101100101000001000001010000011011000101000010001000001111000000000000000000000000
24,0,2019-06-27 09:12:18,1110010000000001000011110000001101100011000001000001010000011000000101000010001100001111000000000000000000000000
24,0,2019-06-27 09:13:56,1110010000000001000011110000001101011101000001000001010000011001000101000001110000001111000000000000000000000000
24,0,2019-06-27 09:15:36,1110010000000001000011110000001101011011000001000001010000011010000101000001100100001111000000000000000000000000
24,0,2019-06-27 09:17:10,1110010000000001000011110000001101100001000001000001010000011010000101000001111100001111000000000000000000000000
24,0,2019-06-27 09:18:41,1110010000000001000011110000001101011111000001000001010000011011000101000001110000001111000000000000000000000000
24,0,2019-06-27 09:20:19,1110010000000001000011110000001101100111000001000001010000011011000101000010010000001111000000000000000000000000
24,0,2019-06-27 09:21:54,1110010000000001000011110000001101100011000001000001010000011001000101000010001000001111000000000000000000000000
24,0,2019-06-27 09:23:35,1110010000000001000011110000001101100010000001000001010000011001000101000010000100001111000000000000000000000000
24,0,2019-06-27 09:25:14,1110010000000001000011110000001101100110000001000001010000011010000101000010010000001111000000000000000000000000
24,0,2019-06-27 09:27:15,1110010000000001000011110000001101100010000001000001010000011100000101000001111000001111000000000000000000000000
24,0,2019-06-27 09:28:34,1110010000000001000011110000001101101001000001000001010000011011000101000010011000001111000000000000000000000000
24,0,2019-06-27 09:30:17,1110010000000001000011110000001101101001000001000001010000011010000101000010011100001111000000000000000000000000
24,0,2019-06-27 09:32:01,1110010000000001000011110000001101011011000001000001010000011000000101000001101100001111000000000000000000000000
24,0,2019-06-27 09:33:44,1110010000000001000011110000001101011110000001000001010000011000000101000001111000001111000000000000000000000000
24,0,2019-06-27 09:35:15,1110010000000001000011110000001101100001000001000001010000011010000101000001111100001111000000000000000000000000
24,0,2019-06-27 09:36:52,1110010000000001000011110000001101011000000001000001010000010101000101000001101100001111000000000000000000000000
24,0,2019-06-27 09:38:24,1110010000000001000011110000001101100011000001000001010000010101000101000010011000001111000000000000000000000000
24,0,2019-06-27 09:39:52,1110010000000001000011110000001101100100000001000001010000010111000101000010010100001111000000000000000000000000
24,0,2019-06-27 09:41:33,1110010000000001000011110000001101100111000001000001010000011001000101000010011000001111000000000000000000000000
24,0,2019-06-27 09:43:15,1110010000000001000011110000001101011111000001000001010000011001000101000001111000001111000000000000000000000000
24,0,2019-06-27 09:44:58,1110010000000001000011110000001101011111000001000001010000011001000101000001111000001111000000000000000000000000
24,0,2019-06-27 09:46:33,1110010000000001000011110000001101100111000001000001010000011010000101000010010100001111000000000000000000000000
24,0,2019-06-27 09:48:09,1110010000000001000011110000001101100100000001000001010000011001000101000010001100001111000000000000000000000000
24,0,2019-06-27 09:49:51,1110010000000001000011110000001101011110000001000001010000011011000101000001101100001111000000000000000000000000
24,0,2019-06-27 09:51:33,1110010000000001000011110000001101100000000001000001010000011100000101000001110000001111000000000000000000000000
24,0,2019-06-27 09:53:07,1110010000000001000011110000001101011111000001000001010000011011000101000001110000001111000000000000000000000000
24,0,2019-06-27 09:54:42,1110010000000001000011110000001101100000000001000001010000011011000101000001110100001111000000000000000000000000
24,0,2019-06-27 09:56:17,1110010000000001000011110000001101011111000001000001010000011011000101000001110000001111000000000000000000000000
24,0,2019-06-27 09:57:53,1110010000000001000011110000001101011101000001000001010000011100000101000001100100001111000000000000000000000000
24,0,2019-06-27 09:59:29,1110010000000001000011110000001101011111000001000001010000011101000101000001101000001111000000000000000000000000
24,0,2019-06-27 10:01:03,1110010000000001000011110000001101011110000001000001010000011100000101000001101000001111000000000000000000000000
24,0,2019-06-27 10:02:37,1110010000000001000011110000001101011010000001000001010000011011000101000001011100001111000000000000000000000000
24,0,2019-06-27 10:04:10,1110010000000001000011110000001101011011000001000001010000011011000101000001100000001111000000000000000000000000
24,0,2019-06-27 10:05:40,1110010000000001000011110000001101011011000001000001010000011011000101000001100000001111000000000000000000000000
24,0,2019-06-27 10:07:11,1110010000000001000011110000001101011100000001000001010000011011000101000001100100001111000000000000000000000000
24,0,2019-06-27 10:08:42,1110010000000001000011110000001101100010000001000001010000011111000101000001101100001111000000000000000000000000
